method,c1_ls,c2_ls,success_rate,avg_iterations,avg_f_eval,avg_g_eval,avg_cpu_sec
GradientDescentW,5e-05,0.7,1.0,313.3333333333333,2810.0833333333335,2811.0833333333335,0.2637150250000862
GradientDescentW,5e-05,0.8,1.0,323.5,2838.0,2839.0,0.262670675000057
GradientDescentW,5e-05,0.9,1.0,328.0833333333333,2844.6666666666665,2845.6666666666665,0.26318811666684877
GradientDescentW,5e-05,0.99,1.0,325.9166666666667,2835.9166666666665,2836.9166666666665,0.2649699083331143
GradientDescentW,0.0001,0.1,1.0,309.8333333333333,2809.1666666666665,2810.1666666666665,0.2659559666669035
GradientDescentW,0.0001,0.2,1.0,309.8333333333333,2808.5833333333335,2809.5833333333335,0.26337213333317777
GradientDescentW,0.0001,0.3,1.0,313.6666666666667,2819.5,2820.5,0.26713316666670534
GradientDescentW,0.0001,0.4,1.0,314.75,2819.5,2820.5,0.2663293249999394
GradientDescentW,0.0001,0.5,1.0,315.5,2822.5,2823.5,0.3027169749998393
GradientDescentW,0.0001,0.6,1.0,315.1666666666667,2816.0,2817.0,0.30877889166670985
GradientDescentW,0.0001,0.7,1.0,312.3333333333333,2808.5,2809.5,0.2749512583335066
GradientDescentW,0.0001,0.8,1.0,322.8333333333333,2836.5833333333335,2837.5833333333335,0.2636324000000059
GradientDescentW,0.0001,0.9,1.0,327.4166666666667,2843.25,2844.25,0.28049760833361387
GradientDescentW,0.0001,0.99,1.0,325.25,2834.5,2835.5,0.26689709166703324
GradientDescentW,0.0005,0.1,1.0,309.75,2809.3333333333335,2810.3333333333335,0.26144809166665556
GradientDescentW,0.0005,0.2,1.0,309.8333333333333,2808.5833333333335,2809.5833333333335,0.2660921499999252
GradientDescentW,0.0005,0.3,1.0,313.6666666666667,2819.5,2820.5,0.2633787999998276
GradientDescentW,0.0005,0.4,1.0,314.75,2819.5,2820.5,0.2772255166663247
GradientDescentW,0.0005,0.5,1.0,315.9166666666667,2822.6666666666665,2823.6666666666665,0.2645805833334028
GradientDescentW,0.0005,0.6,1.0,315.0,2815.5833333333335,2816.5833333333335,0.2630578750001102
GradientDescentW,0.0005,0.7,1.0,312.1666666666667,2808.0833333333335,2809.0833333333335,0.2681451333332916
GradientDescentW,0.0005,0.8,1.0,322.6666666666667,2836.1666666666665,2837.1666666666665,0.2810756666664626
GradientDescentW,0.0005,0.9,1.0,327.25,2842.8333333333335,2843.8333333333335,0.27378835833360426
GradientDescentW,0.0005,0.99,1.0,325.0833333333333,2834.0833333333335,2835.0833333333335,0.26317470000003595
GradientDescentW,0.001,0.1,1.0,309.25,2808.75,2809.75,0.26002829166645824
GradientDescentW,0.001,0.2,1.0,309.25,2808.1666666666665,2809.1666666666665,0.2610483750001246
GradientDescentW,0.001,0.3,1.0,313.0833333333333,2819.0833333333335,2820.0833333333335,0.26705855833324676
GradientDescentW,0.001,0.4,1.0,314.1666666666667,2819.0833333333335,2820.0833333333335,0.26565323333337193
GradientDescentW,0.001,0.5,1.0,315.3333333333333,2822.25,2823.25,0.2666628666664413
GradientDescentW,0.001,0.6,1.0,314.25,2815.0833333333335,2816.0833333333335,0.2703532333336322
GradientDescentW,0.001,0.7,1.0,311.4166666666667,2807.5833333333335,2808.5833333333335,0.26245845833318526
GradientDescentW,0.001,0.8,1.0,322.25,2835.8333333333335,2836.8333333333335,0.26768545833374446
GradientDescentW,0.001,0.9,1.0,326.8333333333333,2842.5,2843.5,0.26549387499972
GradientDescentW,0.001,0.99,1.0,324.6666666666667,2833.75,2834.75,0.2818528833331584
GradientDescentW,0.005,0.1,1.0,308.4166666666667,2804.1666666666665,2805.1666666666665,0.26463347500020973
GradientDescentW,0.005,0.2,1.0,308.4166666666667,2803.5833333333335,2804.5833333333335,0.26582455833325486
GradientDescentW,0.005,0.3,1.0,312.25,2814.5,2815.5,0.2656847416665187
GradientDescentW,0.005,0.4,1.0,313.3333333333333,2814.5,2815.5,0.2651245666666
GradientDescentW,0.005,0.5,1.0,314.5,2817.6666666666665,2818.6666666666665,0.2653748416664712
GradientDescentW,0.005,0.6,1.0,313.4166666666667,2810.5,2811.5,0.26743309166674106
GradientDescentW,0.005,0.7,1.0,310.5833333333333,2803.0,2804.0,0.2706627333335139
GradientDescentW,0.005,0.8,1.0,320.5,2828.9166666666665,2829.9166666666665,0.26384536666682834
GradientDescentW,0.005,0.9,1.0,322.6666666666667,2826.6666666666665,2827.6666666666665,0.283976408333577
GradientDescentW,0.005,0.99,1.0,323.8333333333333,2829.1666666666665,2830.1666666666665,0.2673033916668525
GradientDescentW,0.01,0.1,1.0,308.4166666666667,2805.6666666666665,2806.6666666666665,0.2685368833335815
GradientDescentW,0.01,0.2,1.0,308.4166666666667,2805.0833333333335,2806.0833333333335,0.2761283666663985
GradientDescentW,0.01,0.3,1.0,309.8333333333333,2806.0,2807.0,0.2688429916665882
GradientDescentW,0.01,0.4,1.0,313.3333333333333,2816.0,2817.0,0.26833433333316253
GradientDescentW,0.01,0.5,1.0,315.9166666666667,2825.6666666666665,2826.6666666666665,0.2706762250002915
GradientDescentW,0.01,0.6,1.0,313.4166666666667,2812.0,2813.0,0.27437253333346234
GradientDescentW,0.01,0.7,1.0,310.5833333333333,2804.5,2805.5,0.2662381666667291
GradientDescentW,0.01,0.8,1.0,321.25,2832.5833333333335,2833.5833333333335,0.2679402583333588
GradientDescentW,0.01,0.9,1.0,322.6666666666667,2828.1666666666665,2829.1666666666665,0.27105150000049133
GradientDescentW,0.01,0.99,1.0,323.8333333333333,2830.6666666666665,2831.6666666666665,0.27141436666685576
GradientDescentW,0.05,0.1,1.0,307.6666666666667,2795.5,2796.5,0.28370691666638476
GradientDescentW,0.05,0.2,1.0,307.6666666666667,2795.5,2796.5,0.2660742916665792
GradientDescentW,0.05,0.3,1.0,311.0,2800.25,2801.25,0.26908689999982016
GradientDescentW,0.05,0.4,1.0,315.3333333333333,2814.8333333333335,2815.8333333333335,0.2690513249998124
GradientDescentW,0.05,0.5,1.0,312.5,2804.9166666666665,2805.9166666666665,0.2719047500002792
GradientDescentW,0.05,0.6,1.0,312.5,2800.5,2801.5,0.2694792500001313
GradientDescentW,0.05,0.7,1.0,309.6666666666667,2792.9166666666665,2793.9166666666665,0.2716317333335307
GradientDescentW,0.05,0.8,1.0,321.1666666666667,2823.75,2824.75,0.2706290416666282
GradientDescentW,0.05,0.9,1.0,322.0833333333333,2815.8333333333335,2816.8333333333335,0.27448964166675677
GradientDescentW,0.05,0.99,1.0,322.0,2816.4166666666665,2817.4166666666665,0.2702206750001703
NewtonW,1e-05,0.1,1.0,6.916666666666667,20.083333333333332,21.083333333333332,0.007557933333221929
NewtonW,1e-05,0.2,1.0,7.25,18.916666666666668,19.916666666666668,0.006234191666559734
NewtonW,1e-05,0.3,1.0,8.333333333333334,17.5,18.5,0.0062111166665393585
NewtonW,1e-05,0.4,1.0,8.0,16.333333333333332,17.333333333333332,0.006235291666750224
NewtonW,1e-05,0.5,1.0,7.916666666666667,15.083333333333334,16.083333333333332,0.006272983333171093
NewtonW,1e-05,0.6,1.0,8.833333333333334,16.833333333333332,17.833333333333332,0.0065091000001302746
NewtonW,1e-05,0.7,1.0,9.75,18.666666666666668,19.666666666666668,0.006443975000214171
NewtonW,1e-05,0.8,1.0,9.916666666666666,19.25,20.25,0.0069100833335748275
NewtonW,1e-05,0.9,1.0,9.583333333333334,17.5,18.5,0.006695241666572353
NewtonW,1e-05,0.99,1.0,11.0,18.333333333333332,19.333333333333332,0.006929125000321316
NewtonW,5e-05,0.1,1.0,6.916666666666667,20.083333333333332,21.083333333333332,0.006258158333366737
NewtonW,5e-05,0.2,1.0,7.25,18.916666666666668,19.916666666666668,0.006581708333366502
NewtonW,5e-05,0.3,1.0,8.333333333333334,17.5,18.5,0.0061934666665971845
NewtonW,5e-05,0.4,1.0,8.0,16.333333333333332,17.333333333333332,0.006333283332878636
NewtonW,5e-05,0.5,1.0,7.916666666666667,15.083333333333334,16.083333333333332,0.006475491667060851
NewtonW,5e-05,0.6,1.0,8.833333333333334,16.833333333333332,17.833333333333332,0.00645760833337287
NewtonW,5e-05,0.7,1.0,9.75,18.666666666666668,19.666666666666668,0.006427975000102985
NewtonW,5e-05,0.8,1.0,9.916666666666666,19.25,20.25,0.006450074999975186
NewtonW,5e-05,0.9,1.0,9.583333333333334,17.5,18.5,0.006623633333674661
NewtonW,5e-05,0.99,1.0,11.0,18.333333333333332,19.333333333333332,0.006415475000115596
NewtonW,0.0001,0.1,1.0,6.916666666666667,20.083333333333332,21.083333333333332,0.0064628166671051685
NewtonW,0.0001,0.2,1.0,7.25,18.916666666666668,19.916666666666668,0.0062996583334703855
NewtonW,0.0001,0.3,1.0,8.333333333333334,17.5,18.5,0.006205749999783923
NewtonW,0.0001,0.4,1.0,8.0,16.333333333333332,17.333333333333332,0.0060973499998908665
NewtonW,0.0001,0.5,1.0,7.916666666666667,15.083333333333334,16.083333333333332,0.006169425000280171
NewtonW,0.0001,0.6,1.0,8.833333333333334,16.833333333333332,17.833333333333332,0.006468833333353056
NewtonW,0.0001,0.7,1.0,9.75,18.666666666666668,19.666666666666668,0.006323466666799504
NewtonW,0.0001,0.8,1.0,9.916666666666666,19.25,20.25,0.006430949999867153
NewtonW,0.0001,0.9,1.0,9.583333333333334,17.5,18.5,0.006380750000062108
NewtonW,0.0001,0.99,1.0,11.0,18.333333333333332,19.333333333333332,0.006540358333192368
NewtonW,0.0005,0.1,1.0,6.916666666666667,20.083333333333332,21.083333333333332,0.006354449999738184
NewtonW,0.0005,0.2,1.0,7.25,18.916666666666668,19.916666666666668,0.006304466666430623
